trader,timestamp,a1_sum_buy,a1_mean_buy,a1_median_buy,a1_min_buy,a1_max_buy,a1_vol_sum_buy,a1_vol_mean_buy,a1_vol_median_buy,a1_vol_min_buy,a1_vol_max_buy, a1_sum_sell,a1_mean_sell,a1_median_sell,a1_min_sell,a1_max_sell,a1_vol_sum_sell,a1_vol_mean_sell,a1_vol_median_sell,a1_vol_min_sell,a1_vol_max_sell,diff_a1_sum_buy,diff_a1_mean_buy,diff_a1_median_buy,diff_a1_min_buy,diff_a1_max_buy,diff_a1_vol_sum_buy,diff_a1_vol_mean_buy,diff_a1_vol_median_buy,diff_a1_vol_min_buy,diff_a1_vol_max_buy, diff_a1_sum_sell,diff_a1_mean_sell,diff_a1_median_sell,diff_a1_min_sell,diff_a1_max_sell,diff_a1_vol_sum_sell,diff_a1_vol_mean_sell,diff_a1_vol_median_sell,diff_a1_vol_min_sell,diff_a1_vol_max_sell,severity,labels
T_1,2019-04-01 10:59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,29.0,29.0,29.0,29.0,11.0,2.2,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,29.0,29.0,29.0,29.0,11.0,2.2,2.0,2.0,3.0,0.4900013331200346,1
T_2,2019-04-01 10:59,170.958,28.493000000000002,28.4416,28.1916,29.0,6.0,1.0,1.0,1.0,1.0,243.2328,30.4041,30.4416,29.791600000000003,30.9416,8.0,1.0,1.0,1.0,1.0,170.958,28.493000000000002,28.4416,28.1916,29.0,6.0,1.0,1.0,1.0,1.0,98.2328,1.4040999999999997,1.441600000000001,0.7916000000000025,1.941600000000001,-3.0,-1.2000000000000002,-1.0,-1.0,-2.0,0.4775151752081999,1
T_3,2019-04-01 10:59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,29.0,29.0,29.0,29.0,13.0,2.6,3.0,1.0,4.0,-170.958,-28.493000000000002,-28.4416,-28.1916,-29.0,-6.0,-1.0,-1.0,-1.0,-1.0,-98.2328,-1.4040999999999997,-1.441600000000001,-0.7916000000000025,-1.941600000000001,5.0,1.6,2.0,0.0,3.0,0.47252769565540637,1
T_4,2019-04-01 10:59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,29.0,29.0,29.0,29.0,13.0,2.6,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.2084,-0.7916000000000025,-0.7916000000000025,-0.7916000000000025,-0.7916000000000025,-24.0,-34.4,-34.0,-36.0,-33.0,0.5523079095743253,-1
T_3,2019-04-01 11:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,29.0,29.0,29.0,29.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.0,0.0,0.0,0.0,0.0,-11.0,-1.6,-2.0,0.0,-3.0,0.4775151752081999,1
T_4,2019-04-01 11:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,29.0,29.0,29.0,29.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.0,0.0,0.0,0.0,0.0,-11.0,-1.6,-2.0,0.0,-3.0,0.5,-1
T_1,2019-04-01 11:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.5832,29.3958,29.3958,29.0,29.791600000000003,79.0,19.75,18.0,6.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.583200000000005,0.39580000000000126,0.39580000000000126,0.0,0.7916000000000025,77.0,18.75,17.0,5.0,36.0,0.4900013331200346,1
T_2,2019-04-01 11:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.583200000000005,29.791600000000003,29.791600000000003,29.791600000000003,29.791600000000003,73.0,36.5,36.5,35.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58.0,0.39580000000000126,0.39580000000000126,0.7916000000000025,0.0,-6.0,16.75,18.5,29.0,1.0,0.4900013331200346,1
T_3,2019-04-01 11:01,29.0,29.0,29.0,29.0,29.0,26.0,26.0,26.0,26.0,26.0,29.791600000000003,29.791600000000003,29.791600000000003,29.791600000000003,29.791600000000003,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,26.0,26.0,26.0,26.0,26.0,-29.791600000000003,0.0,0.0,0.0,0.0,-44.0,-7.5,-7.5,-6.0,-9.0,0.4900013331200346,1
T_4,2019-04-01 11:01,29.0,29.0,29.0,29.0,29.0,26.0,26.0,26.0,26.0,26.0,29.791600000000003,29.791600000000003,29.791600000000003,29.791600000000003,29.791600000000003,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,26.0,26.0,26.0,26.0,26.0,-28.208399999999997,0.7916000000000025,0.7916000000000025,0.7916000000000025,0.7916000000000025,27.0,28.0,28.0,28.0,28.0,0.5224848247918001,-1
T_6,2019-04-01 11:01,29.0,29.0,29.0,29.0,29.0,26.0,26.0,26.0,26.0,26.0,29.791600000000003,29.791600000000003,29.791600000000003,29.791600000000003,29.791600000000003,29.0,29.0,29.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5448788923735801,-1
T_1,2019-04-01 11:02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,29.0,29.0,29.0,29.0,10.0,5.0,5.0,5.0,5.0,-29.0,-29.0,-29.0,-29.0,-29.0,-26.0,-26.0,-26.0,-26.0,-26.0,28.208399999999997,-0.7916000000000025,-0.7916000000000025,-0.7916000000000025,-0.7916000000000025,-19.0,-24.0,-24.0,-24.0,-24.0,0.4900013331200346,1
T_2,2019-04-01 11:02,228.6496,28.581200000000003,28.5666,28.1916,29.0,8.0,1.0,1.0,1.0,1.0,243.2328,30.4041,30.4416,29.791600000000003,30.9416,8.0,1.0,1.0,1.0,1.0,228.6496,28.581200000000003,28.5666,28.1916,29.0,8.0,1.0,1.0,1.0,1.0,185.2328,1.4040999999999997,1.441600000000001,0.7916000000000025,1.941600000000001,-2.0,-4.0,-4.0,-4.0,-4.0,0.47252769565540637,1
T_3,2019-04-01 11:02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,29.0,29.0,29.0,29.0,15.0,3.75,4.0,3.0,4.0,-228.6496,-28.581200000000003,-28.5666,-28.1916,-29.0,-8.0,-1.0,-1.0,-1.0,-1.0,-127.2328,-1.4040999999999997,-1.441600000000001,-0.7916000000000025,-1.941600000000001,7.0,2.75,3.0,2.0,3.0,0.4700359482354282,1
T_4,2019-04-01 11:02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,29.0,29.0,29.0,29.0,15.0,3.75,4.0,3.0,4.0,-29.0,-29.0,-29.0,-29.0,-29.0,-26.0,-26.0,-26.0,-26.0,-26.0,86.2084,-0.7916000000000025,-0.7916000000000025,-0.7916000000000025,-0.7916000000000025,-14.0,-25.25,-25.0,-26.0,-25.0,0.5174928576663897,-1
T_1,2019-04-01 11:03,29.0,29.0,29.0,29.0,29.0,34.0,34.0,34.0,34.0,34.0,59.583200000000005,29.791600000000003,29.791600000000003,29.791600000000003,29.791600000000003,59.0,29.5,29.5,27.0,32.0,29.0,29.0,29.0,29.0,29.0,34.0,34.0,34.0,34.0,34.0,-56.416799999999995,0.7916000000000025,0.7916000000000025,0.7916000000000025,0.7916000000000025,44.0,25.75,25.5,24.0,28.0,0.4900013331200346,1
T_2,2019-04-01 11:03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.37480000000001,29.791600000000003,29.791600000000003,29.791600000000003,29.791600000000003,92.0,30.666666666666668,30.0,28.0,34.0,-29.0,-29.0,-29.0,-29.0,-29.0,-34.0,-34.0,-34.0,-34.0,-34.0,29.791600000000003,0.0,0.0,0.0,0.0,33.0,1.1666666666666679,0.5,1.0,2.0,0.4900013331200346,1
T_3,2019-04-01 11:03,58.7916,29.3958,29.3958,29.0,29.791600000000003,57.0,28.5,28.5,26.0,31.0,29.791600000000003,29.791600000000003,29.791600000000003,29.791600000000003,29.791600000000003,31.0,31.0,31.0,31.0,31.0,58.7916,29.3958,29.3958,29.0,29.791600000000003,57.0,28.5,28.5,26.0,31.0,-59.583200000000005,0.0,0.0,0.0,0.0,-61.0,0.33333333333333215,1.0,3.0,-3.0,0.4900013331200346,1
